id,label
1,0.9999653
10,0.00046212607
100,0.0001410277
1000,0.9999993
10000,0.9999906
10001,9.927073e-06
10002,0.0003990468
10003,0.9927235
10004,0.8994365
10005,6.866499e-06
10006,1.8694467e-05
10007,1.5608364e-05
10008,5.368978e-06
10009,0.00060929335
1001,1.3252264e-06
10010,0.99999964
10011,0.99990237
10012,5.9252376e-05
10013,0.0003893438
10014,0.036444686
10015,0.99997604
10016,0.10378025
10017,4.3138883e-05
10018,0.0017875357
10019,0.0001408323
1002,0.9999105
10020,0.00028477682
10021,4.408624e-05
10022,0.9999138
10023,0.9999918
10024,0.9999484
10025,0.99893385
10026,0.99969256
10027,0.9999443
10028,1.2306892e-05
10029,0.04728843
1003,0.99999785
10030,0.9969561
10031,0.028392497
10032,0.02167499
10033,0.01468741
10034,0.99910045
10035,0.43740308
10036,0.9999461
10037,0.0041333735
10038,0.9995658
10039,0.9999448
1004,0.9998542
10040,5.147039e-06
10041,0.99995613
10042,0.28754064
10043,0.9999404
10044,1.8468024e-06
10045,0.48457417
10046,0.1773175
10047,0.99983764
10048,0.99988806
10049,7.934012e-06
1005,8.932678e-05
10050,0.001158078
10051,8.245219e-06
10052,0.00022037825
10053,0.9767898
10054,0.000116626725
10055,2.639191e-06
10056,0.99991834
10057,0.0049981256
10058,0.99958736
10059,0.9937868
1006,0.9999964
10060,0.9908399
10061,0.0035827497
10062,3.6506655e-05
10063,0.99574125
10064,0.9577193
10065,0.0019739529
10066,3.1587474e-06
10067,2.596466e-06
10068,0.000474448
10069,5.358312e-05
1007,0.9999746
10070,0.9831073
10071,0.0001328624
10072,7.616891e-05
10073,0.9696927
10074,0.00037254218
10075,0.037319407
10076,0.00011152953
10077,0.03375925
10078,0.9999325
10079,2.4966803e-05
1008,6.1019327e-06
10080,0.9992791
10081,0.012073233
10082,0.0009463428
10083,0.0002058513
10084,0.9999999
10085,0.99999976
10086,0.9999589
10087,0.9999914
10088,4.061359e-05
10089,0.0012886913
1009,0.99994695
10090,0.000993554
10091,1.7312283e-05
10092,0.9848284
10093,0.008849797
10094,0.9998647
10095,1.4347216e-05
10096,0.9998665
10097,0.9996395
10098,0.9999821
10099,3.0436795e-05
101,0.00228597
1010,0.9893885
10100,0.99819225
10101,0.9999939
10102,2.198366e-05
10103,0.00021876287
10104,0.9996978
10105,0.71604186
10106,3.1739812e-06
10107,6.200738e-05
10108,0.3621772
10109,1.272661e-07
1011,0.00026081578
10110,0.998013
10111,0.001049559
10112,6.270608e-05
10113,0.99999
10114,2.1316737e-05
10115,7.470333e-05
10116,0.9999987
10117,0.0055899806
10118,0.0022594193
10119,0.97663474
1012,0.9940263
10120,1.9561988e-08
10121,1.5823583e-05
10122,0.00024469759
10123,0.0020908832
10124,0.99999297
10125,0.004262553
10126,1.5252097e-05
10127,0.9987036
10128,0.0010584102
10129,0.99933714
1013,0.0001745628
10130,0.00027646162
10131,0.9996748
10132,3.4964369e-06
10133,0.0018897249
10134,0.99550545
10135,0.99999785
10136,0.99815434
10137,0.00045025803
10138,0.99884677
10139,0.9999628
1014,0.99999833
10140,0.9997962
10141,0.99998677
10142,0.93614364
10143,0.8601831
10144,0.999982
10145,7.0204165e-05
10146,0.99879044
10147,0.9998845
10148,0.55733573
10149,9.001208e-08
1015,2.0626887e-05
10150,0.19764762
10151,0.000114093986
10152,3.3210486e-05
10153,0.7953316
10154,0.00038697154
10155,0.9998934
10156,0.00019380213
10157,0.094669744
10158,5.411275e-05
10159,0.99981314
1016,0.915807
10160,3.070894e-06
10161,0.00027895864
10162,0.9997305
10163,0.9999746
10164,0.99667263
10165,0.7282992
10166,0.99998426
10167,0.9999963
10168,0.99968326
10169,0.99996185
1017,0.00016514701
10170,0.00013145478
10171,2.000853e-06
10172,0.99910563
10173,3.1381798e-05
10174,9.3934985e-05
10175,0.001507402
10176,0.999964
10177,0.9949635
10178,0.05023306
10179,0.999951
1018,0.998961
